...Logging started...
0.0479366: Server Started
6.8226312: RespondedAwaitingApproval 6029352477116825501 127.0.0.1
6.8371085: RespondedConnect 6029352477116825501 127.0.0.1
6.8547805: Connected 6029352477116825501 127.0.0.1
6.8657907: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: StartVoIP( 1 )

6.8692922: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: BuildTerrain( -480892722 )

6.8908355: AreaChange 6029352477116825501 127.0.0.1
7.8424824: Instantiate 6029352477116825501 127.0.0.1
	NetworkId: 1
	Prefab: Player
	Loc: 0, 20, 0
	Orientation: 0, 0, 0, 1
8.0826592: SyncUpdate 6029352477116825501 127.0.0.1
8.1579153: SyncUpdate 6029352477116825501 127.0.0.1
8.3995986: SyncUpdate 6029352477116825501 127.0.0.1
8.5365804: SyncUpdate 6029352477116825501 127.0.0.1
8.624043: SyncUpdate 6029352477116825501 127.0.0.1
8.7854923: SyncUpdate 6029352477116825501 127.0.0.1
8.9205055: SyncUpdate 6029352477116825501 127.0.0.1
9.0453663: SyncUpdate 6029352477116825501 127.0.0.1
9.1688533: SyncUpdate 6029352477116825501 127.0.0.1
9.2452792: SyncUpdate 6029352477116825501 127.0.0.1
9.376281: SyncUpdate 6029352477116825501 127.0.0.1
9.5029425: SyncUpdate 6029352477116825501 127.0.0.1
9.6055745: SyncUpdate 6029352477116825501 127.0.0.1
9.7402741: SyncUpdate 6029352477116825501 127.0.0.1
9.8442929: SyncUpdate 6029352477116825501 127.0.0.1
9.9463885: SyncUpdate 6029352477116825501 127.0.0.1
10.0727005: SyncUpdate 6029352477116825501 127.0.0.1
10.2102389: SyncUpdate 6029352477116825501 127.0.0.1
10.3143379: SyncUpdate 6029352477116825501 127.0.0.1
10.4212022: SyncUpdate 6029352477116825501 127.0.0.1
10.5620007: SyncUpdate 6029352477116825501 127.0.0.1
10.6912863: SyncUpdate 6029352477116825501 127.0.0.1
10.8090699: SyncUpdate 6029352477116825501 127.0.0.1
10.9708628: SyncUpdate 6029352477116825501 127.0.0.1
11.0771172: SyncUpdate 6029352477116825501 127.0.0.1
11.2292688: SyncUpdate 6029352477116825501 127.0.0.1
11.3771218: SyncUpdate 6029352477116825501 127.0.0.1
11.4798249: SyncUpdate 6029352477116825501 127.0.0.1
11.5719991: SyncUpdate 6029352477116825501 127.0.0.1
11.7700375: SyncUpdate 6029352477116825501 127.0.0.1
11.9221363: SyncUpdate 6029352477116825501 127.0.0.1
12.0515444: SyncUpdate 6029352477116825501 127.0.0.1
12.1734277: SyncUpdate 6029352477116825501 127.0.0.1
12.3266687: SyncUpdate 6029352477116825501 127.0.0.1
12.4549729: SyncUpdate 6029352477116825501 127.0.0.1
12.5568476: SyncUpdate 6029352477116825501 127.0.0.1
12.6579417: SyncUpdate 6029352477116825501 127.0.0.1
12.8003951: SyncUpdate 6029352477116825501 127.0.0.1
12.957709: SyncUpdate 6029352477116825501 127.0.0.1
13.0442297: SyncUpdate 6029352477116825501 127.0.0.1
13.1693094: SyncUpdate 6029352477116825501 127.0.0.1
13.3251988: SyncUpdate 6029352477116825501 127.0.0.1
13.4371716: SyncUpdate 6029352477116825501 127.0.0.1
13.5567845: SyncUpdate 6029352477116825501 127.0.0.1
13.6572665: SyncUpdate 6029352477116825501 127.0.0.1
13.7594186: SyncUpdate 6029352477116825501 127.0.0.1
13.8670933: SyncUpdate 6029352477116825501 127.0.0.1
14.0083639: SyncUpdate 6029352477116825501 127.0.0.1
14.1273701: SyncUpdate 6029352477116825501 127.0.0.1
14.2560238: SyncUpdate 6029352477116825501 127.0.0.1
14.3564099: SyncUpdate 6029352477116825501 127.0.0.1
14.5140074: SyncUpdate 6029352477116825501 127.0.0.1
14.656726: SyncUpdate 6029352477116825501 127.0.0.1
14.752883: SyncUpdate 6029352477116825501 127.0.0.1
14.887711: SyncUpdate 6029352477116825501 127.0.0.1
15.0229468: SyncUpdate 6029352477116825501 127.0.0.1
15.1131546: SyncUpdate 6029352477116825501 127.0.0.1
15.2702486: SyncUpdate 6029352477116825501 127.0.0.1
15.3553915: SyncUpdate 6029352477116825501 127.0.0.1
15.4816758: SyncUpdate 6029352477116825501 127.0.0.1
15.5843158: SyncUpdate 6029352477116825501 127.0.0.1
15.711321: SyncUpdate 6029352477116825501 127.0.0.1
15.8458259: SyncUpdate 6029352477116825501 127.0.0.1
15.9018523: RPC ServerOnly NetSyncId: -1 Function: PlayerIsReady(  )

15.9212991: => Outgoing RPC Sent to: AllClients as SingleClient NetSyncId: -1 Function: PlayerIsSeeker( 1 )

15.9241834: => Outgoing RPC Sent to: AllClients as SingleClient NetSyncId: -1 Function: Run(  )

16.0041513: SyncUpdate 6029352477116825501 127.0.0.1
16.3200976: SyncUpdate 6029352477116825501 127.0.0.1
16.371139: LiteSyncUpdate 6029352477116825501 127.0.0.1
16.6383061: SyncUpdate 6029352477116825501 127.0.0.1
16.7406514: SyncUpdate 6029352477116825501 127.0.0.1
16.8398382: SyncUpdate 6029352477116825501 127.0.0.1
16.9408202: SyncUpdate 6029352477116825501 127.0.0.1
17.1094543: SyncUpdate 6029352477116825501 127.0.0.1
17.2109297: SyncUpdate 6029352477116825501 127.0.0.1
17.3618642: SyncUpdate 6029352477116825501 127.0.0.1
17.5105391: SyncUpdate 6029352477116825501 127.0.0.1
17.7500598: SyncUpdate 6029352477116825501 127.0.0.1
17.8696638: SyncUpdate 6029352477116825501 127.0.0.1
18.0066772: SyncUpdate 6029352477116825501 127.0.0.1
18.109855: SyncUpdate 6029352477116825501 127.0.0.1
18.2107091: SyncUpdate 6029352477116825501 127.0.0.1
18.3879399: SyncUpdate 6029352477116825501 127.0.0.1
18.5132585: SyncUpdate 6029352477116825501 127.0.0.1
18.6148805: SyncUpdate 6029352477116825501 127.0.0.1
18.7431719: SyncUpdate 6029352477116825501 127.0.0.1
18.8438404: SyncUpdate 6029352477116825501 127.0.0.1
18.9406737: SyncUpdate 6029352477116825501 127.0.0.1
19.0426267: SyncUpdate 6029352477116825501 127.0.0.1
19.1632282: SyncUpdate 6029352477116825501 127.0.0.1
19.2983458: SyncUpdate 6029352477116825501 127.0.0.1
19.4042146: SyncUpdate 6029352477116825501 127.0.0.1
19.561169: SyncUpdate 6029352477116825501 127.0.0.1
19.6324244: SyncUpdate 6029352477116825501 127.0.0.1
19.771759: SyncUpdate 6029352477116825501 127.0.0.1
19.8419869: SyncUpdate 6029352477116825501 127.0.0.1
19.9861293: SyncUpdate 6029352477116825501 127.0.0.1
20.108086: SyncUpdate 6029352477116825501 127.0.0.1
20.2334147: SyncUpdate 6029352477116825501 127.0.0.1
20.351766: SyncUpdate 6029352477116825501 127.0.0.1
20.4718279: SyncUpdate 6029352477116825501 127.0.0.1
20.6120441: SyncUpdate 6029352477116825501 127.0.0.1
20.7227271: SyncUpdate 6029352477116825501 127.0.0.1
20.8147705: SyncUpdate 6029352477116825501 127.0.0.1
20.9703358: SyncUpdate 6029352477116825501 127.0.0.1
21.0541987: Destroy 6029352477116825501 127.0.0.1
21.0581439: Disconnected 6029352477116825501 127.0.0.1
21.0608224: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: VoiceClientDisconnected(  )

23.4728929: Server shutdown
